Saint Frances Xavier Cabrini School,33.9303753334,-118.3020924092,School
Home Base,34.1213645935,-117.7744140625,School
Bridges Reading & Writing Institute,33.675573,-117.75808,School
Good Shepherd Childcare,33.8111563625,-117.9575155729,School
C2 Educational Center,33.9904996032,-117.9329980865,School
Prometric Testing Center,34.1203347951,-117.6151915241,School
Club Z! Tutoring,34.3228154937,-118.4354973124,School
Rossmoor Children's Center,33.8019192518,-118.0601423922,School
Wood Mb,33.7726388889,-118.4157638889,School
Western Christian High School,34.0951213833,-117.6528322317,High School
Montessori Greenhouse School,33.7850550824,-118.0316483974,School
Sonora High School Gym,33.9395091427,-117.9374487795,High School
TutorWhiz,34.0027972493,-117.7212583694,School
Campus Safety,33.9784729333,-118.02879,School
Broadoaks Children's School,33.9794160677,-118.0309106292,School
Walnut High School Track,34.0234685876,-117.8487288575,High School
Walnut High Switchboard,34.023211,-117.851149,High School
Chaffey Adult School,34.1535850482,-117.6135468283,High School
ACI Chino Hills,34.001548,-117.734994,School
Kumon of Eagle Rock,34.1395502199,-118.2176800501,School
Edison Elementary School,33.7749737611,-118.1997156143,School
Bonnie Academy,34.1655253679,-118.2617500649,School
Our Lady of Fatima School,33.8614156397,-118.0787148797,School
Helen Bernstein High School,34.0957882411,-118.3148622566,High School
Valley Beth Shalom Early Childhood Center,34.156156,-118.476284,School
Macy Elementary School,33.9440137996,-117.9715060838,School
Mr Goldmans Poppin' Classroom,34.139086,-118.627936,School
Hobart Boulevard Elementary School,34.0533661011,-118.3049654961,School
PA Builing,34.138394311,-118.6279689172,High School
The Pegasus School,33.6769779813,-117.947882877,School
CIS Academy,34.1632560915,-118.0909754193,High School
Bixby Elementary,33.9973545564,-117.9481803314,School
Arcadia Episcopal Preschool,34.120546,-118.027977,School
Gladstone Gym,34.012881,-117.990785,High School
Baseball Field At Taft High School,34.168094,-118.574496,High School
Fairfax High School,34.1843133265,-118.6553202185,High School
MB Learning & Performance - West,34.0797651378,-117.5553085421,School
Satellite 1,34.0955072461,-117.8230689625,School
Biola Star - South Bay,33.8061970585,-118.3566301144,High School
NOVA Room #6,34.2805049401,-118.495414414,School
Infant Development Program - Fernald,34.0765136889,-118.4441274832,School
Chapter Leadership Conference,34.038245,-118.70943,School
Burbank High School Pool,34.1892764331,-118.3144055955,High School
Access Tutoring Center,34.129201,-117.831353,School
Kumon of North Burbank,34.20025,-118.32756,School
Mt Olive High School,34.1375111524,-117.9549701662,High School
Page Private School,33.6521522883,-117.9259442561,School
Principal's Office,34.0472721385,-118.5309289725,High School
Evans Community Adult School,34.0635568628,-118.2464236419,School
Disney Children's Center,34.158839,-118.32771,School
Providence High School,34.1544087785,-118.3271459767,High School
Project Think,34.1080777317,-117.7212125504,School
New Adventures In Learning,34.2794640053,-118.502245389,High School
Samsung Tech Training,33.864026,-118.233195,School
Glen A. Wilson High School,34.0005100286,-117.9582477281,High School
52nd Street Elementary School,33.9961893692,-118.2881969031,School
Estancia Commons,33.65915,-117.93443,High School
R4,34.0991383743,-117.8247175316,High School
PCR 2,34.0986976624,-117.8245697022,High School
Pleasantview Elementary,34.1022311801,-117.9529109343,School
LaMerced Intermediate School,34.0220254825,-118.0938217997,School
Kaplan International Center-Whittier College,33.9765116153,-118.0313165796,School
Pacoima Charter School,34.2704459038,-118.4146073694,School
Computer Room,33.997026,-117.981796,School
Pacoima Early Education Center,34.2709562066,-118.4149097274,School
Sinai Akiba Academy,34.0658098105,-118.4289318323,School
Lycee International de Los Angeles (LILA),34.1045101829,-118.2796386708,High School
Relay ffor life @ verdugo hills hs,34.261601,-118.30001,High School
Canoga Park High School,34.19472999,-118.6052656174,High School
Foothill Oaks Academy,34.1422921099,-117.9588426021,School
Cerritos Elementary,33.8100593274,-118.0167360879,School
Mr Morries,33.8625033184,-117.728875634,High School
Brookhurst Junior High School,33.8400868083,-117.9596042633,High School
Anderson Elementary School,33.9143186212,-118.2327120696,School
Hope Academy,34.1191451077,-118.0034925326,High School
Mcpherson Magnet School,33.7940905,-117.7768159,School
Montessori Academy,34.0186780154,-117.8106011779,School
Green Room,34.1291669892,-117.8258337419,High School
Kumon Calabasas-West,34.154308,-118.641968,School
Pacific Aveune Educational Center,34.1401168855,-118.2637485658,School
Mr Heffernan Economics,33.781715,-118.419507,High School
Heff's Class @ PVHS,33.781715,-118.419507,High School
Klabe's Class,33.779963,-118.419205,High School
PVHS,33.7804330742,-118.418595029,High School
Royal Learning Center,33.943861,-118.304427,School
The Adderley School for the Performing Arts,34.0451750677,-118.5516617323,School
Long Beach Unified School District,33.809653,-118.153447,School
Homeschool Campus Of OC,33.679408,-117.929306,School
Planet Aid,33.8750076294,-118.0719604492,School
Wonder World Preschool,34.04922835,-118.09851588,School
Bridges Academy,34.1415004562,-118.3951697332,School
School Connection,34.0433578491,-117.8496017456,School
Ingenium Charter School,34.2120013687,-118.6110693043,School
catholic ming yuan institute,34.0618803085,-118.1247117681,School
North High School Front Office,33.8654846203,-118.3351710115,High School
westerly school,33.807249348,-118.1557105416,School
Hughes Middle School,33.8276699085,-118.1793973058,School
Meadow View School,33.7236676245,-118.0310535695,School
St. Cyril of Jerusalem School,34.1541987849,-118.4732488641,School
Nova,34.2805462091,-118.495306074,High School
Journalism Room,34.12534,-118.099034,High School
Quality Carriers Safety Training School (CA),33.9581335519,-118.1803822517,School
Point Fermin Elementary,33.7146215618,-118.2898925125,School
Moultrie Academy,34.10764,-117.72076,School
Yeda Art,33.9112231689,-117.902309337,School
Irvine Home School,33.6901716956,-117.8183063461,School
Kumon of Chino Hills,33.991765,-117.758331,School
Science Class,33.841657,-118.037914,High School
Poly Languages Institute,34.0624688068,-118.3538280301,School
Sierra Vista Jr. High School,34.076162429,-117.9788097708,School
Viridian Art Academy,34.1794944913,-118.5328216508,School
West Valley Girls Softball Field,34.1754239525,-118.61759347,School
Esperanza HS Dance Room,33.868683,-117.802057,High School
Chs Classroom 313,33.847122,-117.78789,School
